Aamer Ahmad,aamer.ahmad,N
Abir Al-kalemji,527684960623598,B
Åge H. Priisholm,agehansen.priisholm,O
Aia Fog,aia.fog,O
Alex Uhrskov Rosenbæk,1089924012,O
Alexander With,alexander.with,AA
Allan Axelsen,allan.axelsen.5,Q
Alternativet,alternativet.dk,AA
Alternativet København,1645812852307131,AA
Anahita Neshati Malakians,anahitapolitik,V
Anders Broholm,82465221200,V
Anders Buhl-Christensen,anders.buhlchristensen,V
Anders Friis Knudsen,anders.f.knudsen.9,Q
Anders Houdam Andreasen,254146224608641,A
Anders Johansson,andersretzjohansson,C
Anders K. Brandt,anders.k.brandt,OE
Anders Kirkeby,anders.kirkeby,I
Anders Samuelsen,AndersSamuelsenLA,I
Anders Stenumgaard Lind,anders.s.lind.75,AA
Anders Stjernholm,anders.stjernholm.privat,AA
Anders Udengaard,udengaard,F
Anders Wolf Andresen,anderswolfSF,F
Andreas Albertsen,andreas.albertsen,F
Andreas Hastrup,547569822031033,I
Andreas Peters-Lehm,Slehm,Q
Andreas Pourkamali,andreas.pourkamali,B
Andreas Raaby Steenberg,andreas.steenberg.1,B
Ane Halsboe-Jørgensen,stemhalsboe,A
Anker Schjerning,anker.schjerning,OE
Ann Søndergaard Pedersen,1493278163,F
Anna Hede Christensen,AnnahedeDF,O
Anne Baastrup,annebaastrup,F
Anne Ginderskov Hansen,680020447,C
Anne Hegelund,annehegelund.dk,OE
Anne Katrine Melvig,anne.melvig,V
Anne Marie Geisler Andersen,anne.marie.geisler.andersen,B
Anne Paulin,AnnePaulin2,A
Anne Sina,annesina,A
Anne Thomas,anne.thomas.73113,AA
Anne-Mette Winther Christiansen,annemette.w.christiansen,V
Annette Lind,AnnetteLindMF,A
Annette Vilhelmsen,annettevilhelmsen,F
Anni Holm Matthiesen,anni.matthiesen.3,V
Annika Holm Nielsen,annika.h.nielsen,OE
Århus Radikale Ungdom,AarhusRadikaleUngdom,B
Arly Eskildsen,arly.eskildsen,F
Asif Ahmad,287062144826078,N
Astrid Krag,astrid.krag,A
August Vigen Smolarz,augustvigensmolarz,F
Balder Mørk Andersen,baldermoerkandersen,F
Benedikte Ask Skotte,536682579767128,V
Benny Engelbrecht,BennyEngelbrecht,A
Bente Borg Donkin,bente.donkin,F
Bente Juul Röttig,1471184289836479,F
Bente Lerche-Thomsen,bente.lerchethomsen,OE
Bertel Haarder,BertelHaarder,V
Betina Signe Stick,betina.s.stick,O
Bilal Inekci,469380419835798,F
Bina Aylen Seff,bina.seff,AA
Birgit Jakobsen,birgit.jakobsen.1293,Q
Birgitte Kjøller Pedersen,123520157707593,F
Bjarke Charlie Serritslev,bjarkecharlie.serritslev,AA
Bjarne Andersen,favrskovifolketinget,F
Bjarne Fog Corydon,corydonbjarne,A
Bjarne Laustsen,bjarne.laustsen.5,A
Bjarne Lundgaard,bjarne.lundgaard.3,C
Bjørn Bjerrehøj,BjornBjerreho,B
Bo Fink,1416187805353623,OE
Bo Haxthausen,bo.haxthausen,OE
Bo Kømler,bokomler,A
Bo Steen Mikkelsen,bosteenalternativet,AA
Brian Bruhn,753536531372165,F
Brian Mikkelsen,mikkelsen.brian,C
Brigitte Klintskov Jerkel,brigitte.jerkel,C
Britt Bager,stembrittbager,V
Britta Eckhardt,britta.eckhardt.18,Q
Bruno Jerup,bruno.jerup,OE
Camilla Hersom,camillahersom,B
Camilla Kampmann,camilla.kampmann,B
Carl Beck,paintshooter,I
Carl Holst,carlholstvenstre,V
Carl Valentin,CarlValentinSF,F
Carolina Magdalene Maier,carolinamagdalene,AA
Carsten Bering,carsten.bering.jakobsen,AA
Carsten Hansen,tillidogtryghed,A
Carsten Kissmeyer,carsten.kissmeyer,V
Carsten Kudsk,carsten.kudsk,O
Carsten Oddershede,EnhedslistenGreve,OE
Carsten Zacho,carsten.m.zacho,I
Casper Karup Hedegaard,762253443888376,B
Casper Strunge,cstrunge,C
Charlotte Dyremose,CharlotteDyremose,C
Charlotte Rosenberg,1442954625922140,V
Cheri-Mae Marlena Williamson,cheri.mae.m.williamsom,B
Chresten Anker Nielsen,chresten.anker.nielsen,A
Christen Sørensen,christensoerensen45,A
Christian Hartmann,100008861956595,C
Christian Juhl,chr.juhl,OE
Christian Poll,christianpollalternativet,AA
Christian Rabjerg Madsen,christian.rabjerg,A
Christine Antorini,antorini,A
Claus Bakke,194724180543636,V
Claus Hermansen,claus.hermansen.liberal,I
Claus Hjort Frederiksen,ClausHjortFrederiksen,V
Claus Houden,claus.houden,V
Claus Kvist Hansen,1413222358940007,O
Claus Larsen-Jensen,ClausBedstforBornholm,A
Colette L. Brix,colettebrix,V
Dan Arnløv Jørgensen,arnloev,C
Dan Jørgensen,danjorgensen,A
Dan Westerholt,DanWesterholt,AA
Daniel Rugholm,rugholm,C
Daniel Toft Jakobsen,danieltoftjakobsen,A
Danny K. Malkowski,dannykmalkowski,I
Dansk Folkeparti,danskfolkeparti,O
Dennis Flydtkjaer,DennisFlydtkjaer,O
Dennis Ørsted Petersen,dennisoersted,F
Dennis Paaske,liberaldennispaaske,I
Dennis Schnell-Lauritzen,dennis.schnelllauritzen,A
DF Brøndby,danskfolkepartibrondby,O
DF Kolding,dfkolding,O
DF Ungdom,DfUngdom,O
Ditte Brøndum,ditte.brondum,A
Dorete Dandanell,dorete.dandanell,F
DSU,dsu1920,A
Eigil Andersen,eigil.andersen.96,F
Ejnar Boysen Schultz,schultz.ejnar,V
Elisabeth Ildal,elisabethildalliberalalliance,I
Ellen Trane Nørby,ElleniFolketinget,V
Else Kayser,else.kayser,OE
Else Merete Knoop,elsemereteknoop.politik,V
Else-Marie Madsen,100008799879799,O
Emilia Djomina Hansen,emiliaifolketinget,I
Emma Lyng Svensson,eklsvensson,OE
Emrah Tuncer,emrah.radikale,B
Enhedslisten,enhedslisten,OE
Erik Christensen,erik.christensen.186,A
Erik Lund,eriklundpolitiker,C
Erik Valentin Fischer,e.v.fischer,AA
Erling Bonnesen,erling.bonnesen,V
Esben Lunde Larsen,esbenlundelarsen,V
Esper Thidemann,esper.thidemann,Q
Eva Flyvholm,eva.flyvholm.enhedslisten,OE
Eva Kjer Hansen,evakjerhansen,V
Fatma Yeliz Øktem,fatmaoektem,V
Finn Klarskov Sommer Jensen,FinnKlarskovJensen,OE
Finn Soerensen,FinnSoerensenEL,OE
Finn Thranum,finn.thranum,V
Flemming Damgaard Larsen,fdlarsen,V
Flemming Møller Mortensen,1579249319,A
Flemming Stenild,flemming.stenild,F
Franciska Rosenkilde,franciska.rosenkilde,AA
Frank Aaen,aaen.frank,OE
Frank Dahlgaard,frank.dahlgaard,I
Frank Heidemann Sørensen,1044395109,A
Frank Mosegaard,frank.mosegaard,A
Frank Tronborg,frank.tronborg,F
Frank Wichmann,frank.wichmann.39,I
Frede Kloch Sørensen,603481559702255,OE
Frede Skaaning,frede.skaaning,A
Frederik Damgaard,frederik.la.damgaard,I
Gert Bjerregaard,gert.bjerregaard.9,V
Gert Ingolf Johansen,gertingolfjohansen,O
Gert Østerkær Svendsen,gert.svendsen.90,Q
Gianjenthiran Velmurugan,giajenthiran,B
Gitte Hemmingsen,1265464241,O
Glen Madsen,stem.paa.glen,O
Halime Oguz,1469998889891861,F
Hans Andersen,hans.andersen.9231712,V
Hans Christian Schmidt,hans.c.schmidt.58,V
Hans Christian Thoning,hans.thoning,V
Hans Henrik Sørensen,211734319000635,O
Hans Nicolai Andersen,hansandersen.venstre,V
Heidi Steenberg Rud,heidi.steenberg.10,OE
Helge Bo Jensen,helge.bo.jensen,OE
Helge Vagn Jacobsen,Helgevagnjacobsen,B
Helle Bækkelund Sørensen,helle.radikale,B
Helle Bonnesen,hellebonnesen.fk,C
Helle Dam,HelleDamSocialdemokrat.,A
Helle Due Buchvaldt,676680495744670,A
Helle Loevgreen Moelvig,hellemolvig,B
Helle Løvgreen Mølvig,133373330053923,B
Helle Thorning-Schmidt,hellethorningschmidt,A
Henrik Boye,henrikboyeLA,I
Henrik Dahl,HenrikDahlLA,I
Henrik Dam Kristensen,henrikdamkristensen,A
Henrik Halle,417601095065729,AA
Henrik Hoeegh,Hoegh.Henrik,V
Henrik Qvist,187509994746640,OE
Henrik Saas,Henrik.Sass,A
Holger K. Nielsen,holgerk.nielsen.7,F
Hovedstadens Radikale Venstre,hovedstadensradikale,B
Ianto Tryfan Davies Gerdes,Ianto.t.d.gerdes,C
Ida Auken,ida.auken,B
Inger Beinov Støjberg,IngerStojberg,V
Isabella Arendt Laursen,isabella.laursen,Q
Ivan Mott,ivan.mott.9,OE
Jacob Dahl Rabjerg,rabjerg.jacob,Q
Jacob Fuglsang Mikkelsen,jacobfuglsangalternativet,AA
Jacob Jensen,mfjacobjensen,V
Jacob Juul Pedersen,jjpedersen,B
Jacob Klivager Vestergaard,jacob.k.vestergaard,F
Jacob Mark,stemjacobmark,F
Jakob Ellemann-Jensen,Ellemann,V
Jakob Engel-Schmidt,jakob.e.schmidt,V
Jakob Hildebrandt Hansen,hejhejhejllll,I
Jan E. Jørgensen,jan.e.venstre,V
Jan Kjær,Jamukj,F
Jan Kristoffersen,jan.kristoffersen.353,AA
Jan Rytkjær Callesen,callesenjan,O
Jan Salskov Jensen,JanSalskoviFolketinget,A
Jane Heitmann,jane.heitmann,V
Jane Knudsen Thomsen,jane.k.kock,AA
Jeanne Guldbrand Toxværd,546074132131751,OE
Jeannie Thorving Hansen,jeanniethorvinghansen,A
Jens Ejner Christensen,jensejner,V
Jens Hald,jens.hald.5,V
Jens Joel,jensjoel,A
Jens Kristian Mølby Nielsen,100000199743874,Q
Jens Salling,JensSpaabaek,C
Jens Vornøe,Jensvornoedf,O
Jens Wenzel Andreasen,Jenswenzel314,OE
Jens-Henrik Kirk,kirkkonservative,C
Jeppe Bruus,jeppe.bruus,A
Jeppe Jakobsen,jeppepaaborgen,O
Jeppe Mikkelsen,mikkelsenjeppe,B
Jeppe Trolle,140746872636746,B
Jesper Hostrup Hansen,jesperhostruppilitiker,A
Jesper Juul Larsen,100008212512111,V
Jesper Kiel,jesper.kiel,OE
Jesper Nørgaard Kjær,jespernorgaard.kjaer,AA
Jesper Petersen,MFJesper,A
Jesper Strøm,jesper.strom,O
Jette Plesner Dali,jette.dali,O
Joachim B Olsen,164752600281593,I
Johanne Schmidt-nielsen,johanneschmidt,OE
John Dyrby Paulsen,John.Dyrby.Paulsen,A
John Erik Nyborg,brugforjohn,A
Johnny Heinmann,johnny.heinmann,I
Jonas Dahl,jonas.dahl.sf,F
Jonathan Nielsen,jonathannielsen,I
Jonna Buch Andersen,JBAradikalevenstre,B
Jørgen Arbo-Bæhr,eljarb,OE
Jørgen Mundt Andersen,100004986279393,O
Jørgen Vangsted,100000305402470,AA
Jørn Trabjerg Pedersen,1147376783,AA
Jørn Vedel Eriksen,joern.vedel,OE
Josefine Kofoed Christiansen,josefine.kofoed.christiansen,C
Josephine Fock,JosephineFockAlternativet,AA
Julie Gottschalk,juliegottschalk.df,O
Julie Skovsby,480141232035843,A
Julius Graakjær Grantzau,jgrantzau,AA
Kaare Dybvad,kaaredybvad,A
Kåre Traberg Smidt,kaaretrabergsmid,V
Karen Ellemann,karen.ellemann,V
Karen Jespersen,karenjespersen,V
Karen Johanne Klint,karenjklint,A
Karen Melchior,KarenMelchiorDK,B
Karin Gaardsted,KarinG,A
Karin Nødgaard,karinnodgaard,O
Karina Adsbøl,1546433252297862,O
Karina Lorentzen Dehnhardt,karinalorentzendehnhardt,F
Karina Rohrberg Jessen,KarinaRohrbergJessen,V
Karl Magnus Bidstrup,karlmagnusbidstrup.alternativet,AA
Karl Plougstrup-Petersen,karlvh.plougstruppetersen,V
Karl-Erik Høholt Jensen,karlerik.jensen,V
Karsten Lauritsen,karsten.lauritsen.3,B
Karsten Nonbo,karstennonbov,V
Karsten Styrbæk Lauritzen,stemlauritzen,V
Karsten Ulstrup Kristensen,karstenk,C
Kashif Ahmad,KashifAhmadDK,N
Kasper Nordborg Kiær,KasperNordborgKiaer,F
Kasper Roug,folketingskandidata,A
Kasper Skov Andersen,Kasper.skov.andersen.1,A
Katarina Ammitzbøll,1541220236121470,C
Kathrine Jensen,sfkathrinejensen,F
Katrine Toft Mikkelsen,katrinetoft.mikkelsen,OE
Kenneth F. Christensen,kennethfc1976,A
Kennith Nielsen,politikeren.kennith.nielsen,AA
Kent Weiss Holst,FolketingsKent,OE
Kim Andersen,kim.andersen.venstre,V
Kim Hyttel,khyttel,AA
Kim Qvist,kimqvist,A
Kirsten Brosboel,kirsten.brosbol,A
Kirstine van Sabben,sabbendk,C
Kisser Franciska Lehnert,KisserLA,I
Kjeld Aagaard Kjærulff,kjeldaak,I
Kjeld Lundager Jørgensen,Kjeld.Lundager.Jorgensen,B
Klaus Hjulmand,HjulmandLA,I
Klaus Markussen,klausmarkussen,V
Knud Erik Damgaard,knuddla,I
Konservativ Ungdom,konservativungdom,C
Konservative,Konservative,C
Kristian Andersen,kristian.andersen.9484,Q
Kristian Andersen,stemkristian,V
Kristian Hegaard,KHegaard,B
Kristian Jensen,kristianjensen.venstre,V
Kristian Pihl Lorentzen,kristian.p.lorentzen,V
Kristian Thulesen Dahl,531761723507375,O
Kristian Westfall,kristian.w.jensen,A
Kristoffer Hjort Storm,KristofferHjortStorm,O
Laila Lauridsen,lailalauridsen,F
Lars Aslan Rasmussen,lars.a.rasmussen.9,A
Lars Barfoed,LarsBarfoed.Konservative,C
Lars Christian Lilleholt,lilleholt,V
Lars Goldschmidt,lars.goldschmidt.3,A
Lars Iversen,SFlarsiversen,F
Lars Løkke Rasmussen,larsloekke,V
Lars Pallesen,lars.pallesen.35,AA
Lasse Carl Hagendam Rasmussen,lasse.h.rasmussen.1,Q
Lasse Elmin Danielsen,100009187989126,AA
Lea Jannerup Lie,427907994037061,AA
Lea Maria Kielsholm,lea.maria.kielsholm,OE
Lea Wermelin,lea.wermelin,A
Leif Donbæk Thomsen,leif.d.thomsen,F
Leif Lahn Jensen,LeifLahn,A
Leif Mikkelsen,leif.mikkelsen.524,I
Lena Agger,lena.agger,AA
Lene Foged,lene.foged.10,I
Lennarth John Hansen,lennarth.j.hansen,V
Liberal Alliance,LiberalAlliance,I
Liberal Ungdom,LiberalUngdom,I
Line Vanggaard Heden Pedersen,LineVanggaardPedersen,C
Lisbeth Beck,lisbethbechpoulsen,F
Lise Bech,Lise.Bech.DF,O
Lise Müller,145989963343,F
Liselotte Blixt,Pialiselottblixt,O
Liv Holm Andersen,LivHolmAndersen,B
Lone Loklindt,lone.loklindt,B
Lotte Rod,lotterod,B
Louise Lundbeck Krog,kroglouise,B
Louise Schack Elholm,louise.elholm,V
Lynge Korsgaard,lyngekorsgaard.alternativet,AA
Mads Fuglede,mads.fuglede,V
Mads Holger Norgaard,madsholger,C
